Title,Image URL,Rating,Price,Result Type
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",https://m.media-amazon.com/images/I/51+SoS8bWbL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
"HP 255 G10, AMD Ryzen 3 7320U Quad Core -(8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg",https://m.media-amazon.com/images/I/71YZQa3BTEL._AC_UY218_.jpg,1.0 out of 5 stars,N/A,Organic
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/519RoeX1P4L._AC_UY218_.jpg,4.3 out of 5 stars,N/A,Organic
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/51bfKFtNSQL._AC_UY218_.jpg,4.2 out of 5 stars,N/A,Organic
"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU",https://m.media-amazon.com/images/I/719OMbh40jL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
"HP 255 Notebook, AMD 4GB 256GB SSD G10",https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,4.6 out of 5 stars,N/A,Organic
"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/61k0gpxQwCL._AC_UY218_.jpg,3.9 out of 5 stars,N/A,Organic
JioBook 11 Android 4G Laptop (Mediatek 8788 Octa-core 2 GHz/ARM Mali G72 MP3 @800 MHz/29.5cms 60 Hz/Thin and Light Laptop/ 4 GB LPDDR4/ 64 GB eMMC/JioOS/Dual Band Wi-Fi/Blue/ 990 GMS)/Office Included,https://m.media-amazon.com/images/I/61IDcxw27+L._AC_UY218_.jpg,3.1 out of 5 stars,N/A,Organic
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",https://m.media-amazon.com/images/I/516btukUorL._AC_UY218_.jpg,3.9 out of 5 stars,N/A,Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (12GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0573TU",https://m.media-amazon.com/images/I/71nT03DWAHL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
"HP 15 AMD Ryzen 3 7320U (8GB LPDDDR5 Ram/512GB NVMe M.2 SSD/Anti Glare, Micro Edge/15.6"" (39.6 Cm) FHD/Backlit Keyboard/Win11 Home+MS Office'21/ AMD Radeon Graphics, HD Camera/1.59Kg/Silver) Fc0026AU",https://m.media-amazon.com/images/I/61Ja6Xa4QaL._AC_UY218_.jpg,4.1 out of 5 stars,N/A,Organic
"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4X, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Pure Silver, 1.3KG, A324-45, HD Webcam, 38 WHR Laptop",https://m.media-amazon.com/images/I/61Y8j1QN5YL._AC_UY218_.jpg,3.3 out of 5 stars,N/A,Organic
"HP 15 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg",https://m.media-amazon.com/images/I/61V+wo9DuZL._AC_UY218_.jpg,5.0 out of 5 stars,N/A,Organic
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS",https://m.media-amazon.com/images/I/719qHYvV-kL._AC_UY218_.jpg,4.0 out of 5 stars,N/A,Organic
